Board Label,Silicon GPIO,Function / Note
BOOT,GPIO0,System Boot Button
GPIO0,GPIO0,Digital IO
GPIO1,GPIO1,Digital IO
GPIO10,GPIO10,Digital IO
GPIO11,GPIO11,Digital IO
GPIO12,GPIO12,Digital IO
GPIO13,GPIO13,Digital IO
GPIO14,GPIO14,Digital IO
GPIO15,GPIO15,Digital IO
GPIO16,GPIO16,Digital IO
GPIO17,GPIO17,Digital IO
GPIO18,GPIO18,Digital IO
GPIO2,GPIO2,Diagnostic Beacon LED Location
GPIO21,GPIO21,Digital IO
GPIO3,GPIO3,Digital IO
GPIO35,GPIO35,Digital IO
GPIO36,GPIO36,Digital IO
GPIO37,GPIO37,Digital IO
GPIO38,GPIO38,Digital IO
GPIO39,GPIO39,Digital IO
GPIO4,GPIO4,Recommended UART TX
GPIO40,GPIO40,Digital IO
GPIO41,GPIO41,Digital IO
GPIO42,GPIO42,Digital IO
GPIO43,GPIO43,UART0 TX (Hardwired to USB Bridge)
GPIO44,GPIO44,UART0 RX (Hardwired to USB Bridge)
GPIO45,GPIO45,Digital IO
GPIO46,GPIO46,Digital IO
GPIO47,GPIO47,Digital IO
GPIO48,GPIO48,Onboard NeoPixel Status Light
GPIO5,GPIO5,Recommended UART RX
GPIO6,GPIO6,Digital IO
GPIO7,GPIO7,Digital IO
GPIO8,GPIO8,I2C SDA (Qwiic Data)
GPIO9,GPIO9,I2C SCL (Qwiic Clock)
NEOPIXEL,GPIO48,Onboard Status LED
RX,GPIO44,Serial Console Receive
TX,GPIO43,Serial Console Transmit
